Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 1,1,Ai là người đầu tiên đưa học thuyết chủ nghĩa xã hội vào việt nam,Hồ Chí Minh,Phạm Văn Đồng,Huỳnh Thúc Kháng,Trần Phú,Hồ Chí Minh
CHƯƠNG 1,2,"Theo quan điểm của chủ nghĩa Mác – Lênin, nếu giai cấp công nhân và nhân dân lao động không có nhận thức đúng đắn và đầy đủ về chủ nghĩa xã hội thì dẫn đến hậu quả gì?","Không có niềm tin, lý tưởng và bản lĩnh cách mạng vững vàng trong mọi tình huống.",Không có đủ cơ sở khoa học để vận dụng sáng tạo lý luận về chủ nghĩa xã hội vào thực tiễn cách mạng.,Không có đủ bản lĩnh để tiếp tục thực hiện sứ mệnh lịch sử của mình.,Tất cả các đáp án.,Tất cả các đáp án.
CHƯƠNG 1,3,Sự sụp đổ của chủ nghĩa xã hội ở liên xô và đông âu có đặc điểm gì?,Là sự sụp đổ của toàn bộ hệ thống chủ nghĩa xã hội trên thế giới.,Sự sụp đổ của một mô hình chủ nghĩa xã hội trong quá trình đi tới mục tiêu xã hội chủ nghĩa.,Là sự sụp đổ của chủ nghĩa Mác – Lênin,Tất cả các đáp án,Sự sụp đổ của một mô hình chủ nghĩa xã hội trong quá trình đi tới mục tiêu xã hội chủ nghĩa.
CHƯƠNG 1,4,Vai trò của V.I.Lênin đối với sự phát triển của chủ nghĩa xã hội khoa học thời kì trước cách mạng tháng Mười Nga:,Đấu tranh chống các trào lưu phi mác xít.,"Xây dựng lí luận về đảng cách mạng kiểu mới của giai cấp công nhân, về cương lĩnh, sách lược trong nội dung hoạt động của Đảng.",Hoàn chỉnh lí luận về cách mạng xã hội chủ nghĩa và chuyên chính vô sản.,Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 1,5,"Từ thực tiễn hơn 30 năm đổi mới, Đảng Cộng sản Việt Nam đã rút ra một số bài học lớn là gì?","Phải chủ động, không ngừng sáng tạo trên cơ sở kiên định mục tiêu độc lập dân tộc và chủ nghĩa xã hội.",Đổi mới phải luôn luôn quán triệt quan điểm “dân là gốc”.,"Đổi mới phải toàn diện, đồng bộ, có bước đi phù hợp, tôn trọng quy luật khách quan, xuất phát từ thực tiễn.",Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 1,6,Công cuộc đổi mới xây dựng CNXH do Đảng Cộng sản VN khởi xướng và lãnh đạo diễn ra tại đại hội Đảng toàn quốc lần nào?,Đại hội lần thứ VI,Đại hội lần thứ V,Đại hội lần thứ IV,Đại hội lần thứ III,Đại hội lần thứ VI
CHƯƠNG 1,7,Sự kiện nào đã biến CNXH từ khoa học lí luận trở thành hiện thực ?,Cách mạng tháng Mười Nga và sự ra đời Nhà nước Xô Viết năm 1917.,Phong trào Hiến chương của công nhân Anh.,Phong trào đấu tranh của công nhân nhà máy Liong ở Pháp.,Phong trào đấu tranh của công nhân nhà máy dệt Xiledi ở Đức.,Cách mạng tháng Mười Nga và sự ra đời Nhà nước Xô Viết năm 1917.
CHƯƠNG 1,8,Ai là người sáng lập ra CNXH khoa học?,C. Mác và Ph. Ăngghen,C.Mác và Hêghen,C.Mác và Lênin,Ph.Ăngghen và Lênin,C. Mác và Ph. Ăngghen
CHƯƠNG 1,9,Ai là người đầu tiên đưa CNXH khoa học từ lí luận thành thực tiễn trên thế giới?,C.Mác,Ph.Ăngghen,V.I. Lênin,Hồ Chí Minh,V.I. Lênin
CHƯƠNG 1,10,Ba phát kiện vĩ đại của C.Mác và Ph.Ăngghen là:,"Chủ nghĩa duy vật lịch sử, học thuyết về giá trị thặng dư, học thuyết về sứ mệnh lịch sử toàn thế giới của giai cấp công nhân.","Chủ nghĩa duy tâm, học thuyết về giá trị thặng dư, học thuyết về sứ mệnh lịch sử của giai cấp công nhân.","Chủ nghĩa duy vật lịch sử, học thuyết về giá trị thặng dư, học thuyết về sứ mệnh lịch sử của giai cấp tư sản.","Chủ nghĩa duy tâm, học thuyết về giá trị thặng dư, học thuyết về sứ mệnh lịch sử của giai cấp tư sản.","Chủ nghĩa duy vật lịch sử, học thuyết về giá trị thặng dư, học thuyết về sứ mệnh lịch sử toàn thế giới của giai cấp công nhân."
CHƯƠNG 1,11,Nguyên nhân nào dẫn đến sự sụp đổ của CNXH ở Liên Xô và Đông Âu ?,Do những nguyên lí của chủ nghĩa Mác – Lênin k đúng.,Những sai lầm trong quá trình lãnh đạo của Đảng Cộng sản ở Liên Xô.,Sự ủng hộ quá trình xây dựng CNXH của các nước tư bản.,Tất cả các đáp án,Những sai lầm trong quá trình lãnh đạo của Đảng Cộng sản ở Liên Xô.
CHƯƠNG 1,12,Theo V.I.Lênin đặc điểm của chuyên chính vô sản là?,Có cơ sở và nguyên tắc cao nhất là liên minh của giai cấp công nhân với giai cấp nông dân và toàn thể nhân dân lao động.,Đặt dưới sự lãnh đạo của giai cấp tư sản.,Thực hiện chuyên chính đối với giai cấp vô sản.,Tất cả các đáp án,Có cơ sở và nguyên tắc cao nhất là liên minh của giai cấp công nhân với giai cấp nông dân và toàn thể nhân dân lao động.
CHƯƠNG 1,13,Hạn chế nổi bật của CNXH không tưởng là gì?,Không phát hiện ra vai trò của giai cấp công nhân trong việc thực hiện cuộc chuyển biến cách mạng từ chủ nghĩa tư bản lên CNXH.,Phê phán chế độ quân chủ chuyên chế.,Đưa ra một số luận điểm về xh tương lai.,Phê phán chế độ tư bản chủ nghĩa.,Không phát hiện ra vai trò của giai cấp công nhân trong việc thực hiện cuộc chuyển biến cách mạng từ chủ nghĩa tư bản lên CNXH.
CHƯƠNG 1,14,Chức năng và nhiệm vụ của CNXH khoa học là?,"Phát hiện ra và luận giải về quá trình tất yếu lịch sử dẫn đến hình thành phát triển hình thái kinh tế - xã hội cộng sản, giải phóng xã hội.","Giáo dục, trang bị lập trường tư tưởng chính trị của giai cấp công nhân cho đảng cộng sản, giai cấp công nhân và nhân dân lao động.","Định hướng chính trị - xã hội cho mọi hoạt động của giai cấp công nhân, của đảng cộng sản, của nhà nước và của nhân dân trên mọi lĩnh vực.",Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 1,15,Tác phẩm nào đánh dấu sự ra đời của XNXH khoa học ?,Bản thảo kinh tế triết học 1844.,Tuyên ngôn của Đảng Cộng sản.,Góp phần phê phán triết học pháp quyền của Hêghen.,Hệ tư tưởng Đức.,Tuyên ngôn của Đảng Cộng sản.
CHƯƠNG 1,16,CNXH khoa học ra đời trong điều kiện kinh tế - xã hội nào?,Phương thức sản xuất tư bản chủ nghĩa đã trở thành phương thức sản xuất thống trị.,Phương thức sản xuất tư bản chủ nghĩa mới xuất hiện.,Chủ nghĩa tư bản trở thành chủ nghĩa đế quốc.,Phương thức sản xuất tư bản chủ nghĩa tan rã.,Phương thức sản xuất tư bản chủ nghĩa đã trở thành phương thức sản xuất thống trị.
CHƯƠNG 1,17,Đặc điểm cơ bản của CNXH không tưởng là gì?,"Thể hiện tinh thần lên án, phê phán chế độ quân chủ chuyên chế và chế độ tư bản chủ nghĩa bất công.",Giải thích được bản chất của chế độ làm thuê trong chế độ tư bản.,Phát hiện ra được những quy luật phát triển của chủ nghĩa tư bản.,Phát hiện ra sứ mệnh lịch sử của giai cấp công nhân.,"Thể hiện tinh thần lên án, phê phán chế độ quân chủ chuyên chế và chế độ tư bản chủ nghĩa bất công."
CHƯƠNG 1,18,Giá trị của chủ nghĩa xã hội không tưởng Pháp là?,Bảo vệ chế độ quân chủ chuyên chế.,Bảo vệ chế độ tư bản chủ nghĩa.,Thức tỉnh giai cấp công nhân và nhân dân lao động trong cuộc đấu tranh chống chế độ quân chủ chuyên chế và chế độ tư bản chủ nghĩa.,Tất cả các đáp án,Thức tỉnh giai cấp công nhân và nhân dân lao động trong cuộc đấu tranh chống chế độ quân chủ chuyên chế và chế độ tư bản chủ nghĩa.
CHƯƠNG 1,19,Ý nghĩa của việc nghiên cứu CNXH khoa học là?,Trang bị những nhận thức chính trị - xã hội và phương pháp luận khoa học để tìm hiểu hình tháo kinh tế - xã hội cộng sản chủ nghĩa.,"Giáo dục niềm tin khoa học cho nhân dân vào mục tiêu, lý tưởng và con đường CNXH.","Có căn cứ nhận thức khoa học để luôn cảnh giác, phân tích đúng và đấu tranh chống lại những nhận thức sai lệch, những sự chống phá của chủ nghĩa đế quốc và bọn phản động đối với Đảng, Nhà nước, chế độ ta.",Tất cả các đáp án,Tất cả các đáp án
CHƯƠNG 1,20,"Tìm phương án trả lời sai, nhiệm vụ của CNXH khoa học",Giác ngộ và hướng dẫn giai cấp tư sản thực hiện sứ mệnh lịch sử của mình.,"Luận giải một cách khoa học về phương hướng và nguyên tắc của chiến lược, sách lược xây dựng CNXH.","Phê phán, đấu tranh, bác bỏ những trào lưu chống cộng, chống CNXH.",Giác ngộ và hướng dẫn giai cấp công nhân thực hiện sứ mệnh lịch sử của mình.,Giác ngộ và hướng dẫn giai cấp tư sản thực hiện sứ mệnh lịch sử của mình.
CHƯƠNG 2,1,Đâu không phải là đặc điểm của giai cấp công nhân ở VN ?,Ra đời đầu tk XX,Có tinh thần cách mạng triệt để.,Đại bộ phân công nhân xuất thân từ nông dân và các tầng lớp lao động khác.,Ra đời sau giai cấp tư sản VN.,Ra đời sau giai cấp tư sản VN.
CHƯƠNG 2,2,"Tìm đáp án đúng nhất, giai cấp nào là lực lượng đi đầu trong sự nghiệp công nghiệp hóa, hiện đại hóa ở VN trong thời kì đổi mới ?",Đội ngũ doanh nhân.,Giai cấp công nhân.,Đội ngũ tri thức.,Giai cấp nông dân.,Giai cấp công nhân.
