Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 1,1,Nguyên tắc viết tọa độ địa lý của một điểm trên bản đồ là:,"Vĩ độ trước, kinh độ sau",Vĩ độ và kinh độ viết theo dạng số thập phân,Kinh độ và vĩ độ viết theo thứ tự tùy chọn,"Kinh độ trước, vĩ độ sau","Vĩ độ trước, kinh độ sau"
CHƯƠNG 1,2,Kinh độ là giá trị tọa độ địa lý của một điểm theo hướng nào?,Tây Bắc – Đông Nam,Bắc – Nam,Đông – Tây,Nam – Tây Nam,Đông – Tây
CHƯƠNG 1,3,Tập hợp các điểm có cùng kinh độ tạo thành đường gì?,Đường kinh tuyến,Đường kinh tuyến gốc,Đường vĩ tuyến gốc,Đường vĩ tuyến,Đường kinh tuyến
CHƯƠNG 1,4,"Theo Công ước của Liên hợp Quốc về luật biển 1982, vùng lãnh hải của một quốc gia ven biển có bề rộng tối đa là bao nhiêu hải lý?",Không vượt quá 24 hải lý tính từ đường cơ sở.,Không vượt quá 30 hải lý tính từ đường cơ sở.,Không vượt quá 120 hải lý tính từ đường cơ sở.,Không vượt quá 12 hải lý tính từ đường cơ sở.,Không vượt quá 12 hải lý tính từ đường cơ sở.
CHƯƠNG 1,5,"Vùng nào không mở rộng quá 200 hải lý tính từ đường cơ sở và quốc gia ven biển có 'quyền chủ quyền' về thăm dò, khai thác, bảo tồn tài nguyên thiên nhiên?",Vùng nội thủy (Internal Waters).,Vùng lãnh hải (Territorial Sea).,Vùng đặc quyền kinh tế (Exclusive Economic Zone – EEZ).,Vùng tiếp giáp lãnh hải (Contiguous Zone).,Vùng đặc quyền kinh tế (Exclusive Economic Zone – EEZ).
CHƯƠNG 1,6,"Vùng biển tiếp liền và nằm ngoài lãnh hải Việt Nam, hợp với lãnh hải thành một vùng biển có chiều rộng 200 hải lý tính từ đường cơ sở gọi là?",Vùng lãnh hải (Territorial Sea).,Vùng tiếp giáp lãnh hải (Contiguous Zone).,Vùng đặc quyền kinh tế (Exclusive Economic Zone – EEZ).,Thềm lục địa kéo dài,Vùng đặc quyền kinh tế (Exclusive Economic Zone – EEZ).
CHƯƠNG 1,7,Biên giới đất liền của Việt Nam không tiếp giáp với nước nào?,Thái Lan,Trung Quốc,Lào,Campuchia,Thái Lan
CHƯƠNG 1,8,Khoáng sản nào sau đây thuộc nhóm khoáng sản năng lượng (nhiên liệu) ở Việt Nam?,Đá vôi và cát,Than đá và dầu mỏ,Đất sét và đất hiếm,Sắt và mangan,Than đá và dầu mỏ
CHƯƠNG 1,9,Nguồn tài nguyên nào sau đây có khả năng tái sinh và phục hồi nếu được khai thác hợp lý?,Quặng kim loại các loại,Năng lượng mặt trời và năng lượng gió,Than đá và dầu mỏ,"Nước ngọt, đất đai và sinh vật","Nước ngọt, đất đai và sinh vật"
CHƯƠNG 1,10,"Theo lý thuyết kinh tế, mối quan hệ giữa GNP và GDP được thể hiện bằng công thức nào sau đây?",GNP = GDP ± NIA,GDP = GNP + Khấu hao,GNP = GDP – Thuế gián thu,GDP = GNP ± NIA,GNP = GDP ± NIA
CHƯƠNG 1,11,Thu nhập tài sản ròng từ nước ngoài (NIA) được hiểu là:,Tổng vốn đầu tư trực tiếp nước ngoài.,Tổng thu ngân sách từ hoạt động đối ngoại.,Tổng giá trị xuất khẩu trừ nhập khẩu.,Chênh lệch giữa thu nhập mà dân cư trong nước tạo raở nước ngoài và thu nhập người nước ngoài tạo ra trong nước.,Chênh lệch giữa thu nhập mà dân cư trong nước tạo raở nước ngoài và thu nhập người nước ngoài tạo ra trong nước.
CHƯƠNG 1,12,Mưa hình thành chủ yếu do quá trình nào sau đây?,"Hơi nước bốc lên cao, gặp lạnh ngưng tụ thành giọt nước đủ lớn và rơi xuống",Sự chênh lệch áp suất giữa các vùng,Không khí nóng bốc lên từ mặt đất,Sự bức xạ trực tiếp của Mặt Trời,"Hơi nước bốc lên cao, gặp lạnh ngưng tụ thành giọt nước đủ lớn và rơi xuống"
CHƯƠNG 1,13,"Trong vòng 24h50' nếu xuất hiện một lần nước lớn, một lần nước ròng thì gọi là chế độ?",Nhật triều không đều,Bán nhật triều không đều,Bán nhật triều đều,Nhật triều đều,Nhật triều đều
CHƯƠNG 1,14,Phần lớn các hiện tượng thời tiết xảy ra chủ yếu trong tầng nào của khí quyển?,Tầng bình lưu,Tầng điện ly,Tầng đối lưu,Tầng trung lưu,Tầng đối lưu
CHƯƠNG 1,15,Đặc điểm thời tiết do gió mùa Đông Bắc gây ra vào cuối mùa đông ở miền Bắc là:,"Nóng ẩm, mưa lớn kéo dài","Nhiệt độ cao, ít mưa","Lạnh ẩm, có mưa phùn và thời tiết nồm","Khô nóng, gió phơn mạnh","Lạnh ẩm, có mưa phùn và thời tiết nồm"
CHƯƠNG 1,16,Tính chất nào sau đây mô tả đúng về mối quan hệ không gian giữa Vĩ tuyến và Kinh tuyến?,Vĩ tuyến luôn song song với kinh tuyến.,Vĩ tuyến chỉ vuông góc với kinh tuyến tại đường xích đạo.,Vĩ tuyến luôn vuông góc với kinh tuyến tại giao điểm.,Vĩ tuyến cắt kinh tuyến với góc nhọn tại hai cực.,Vĩ tuyến luôn vuông góc với kinh tuyến tại giao điểm.
CHƯƠNG 1,17,Hình thể lãnh thổ kéo dài và hẹp ngang của Việt Nam tác động trực tiếp nhất như thế nào đến mạng lưới vận tải?,Tập trung nguồn lực vào các tuyến vận tải trục ngang.,Ưu tiên phát triển các hành lang vận tải trục dọc Bắc - Nam làm xương sống.,Duy trì sự cô lập tương đối giữa các vùng kinh tế.,Hạn chế sự phát triển của vận tải đường biển.,Ưu tiên phát triển các hành lang vận tải trục dọc Bắc - Nam làm xương sống.
CHƯƠNG 1,18,Tại sao vận tải đường thủy tại biên giới Việt Nam - Campuchia lại đặc biệt quan trọng?,Do sự kết nối tự nhiên của hệ thống sông Mê Công và kênh rạch vùng ĐBSCL.,Vì địa hình khu vực này quá cao và hiểm trở.,Vì vận tải đường thủy nhanh hơn hàng không.,Do chính sách cấm phương tiện cơ giới đường bộ.,Do sự kết nối tự nhiên của hệ thống sông Mê Công và kênh rạch vùng ĐBSCL.
CHƯƠNG 1,19,Việt Nam nằm ở trung tâm Đông Nam Á mang lại lợi thế lớn nhất nào cho logistics?,Hạn chế sự cạnh tranh của các cảng biển láng giềng.,Dễ dàng mở rộng vận tải nội địa.,Trở thành điểm trung chuyển quan trọng trên các tuyến quốc tế.,Giảm chi phí đầu tư xây dựng hạ tầng.,Trở thành điểm trung chuyển quan trọng trên các tuyến quốc tế.
CHƯƠNG 1,20,Khó khăn lớn nhất do khí hậu nhiệt đớiẩm gió mùa gây ra cho kinh tế – xã hội Việt Nam là gì?,Nhiệt độ trung bình năm quá thấp.,"Thiên tai diễn biến phức tạp như bão, lũ lụt và hạn hán.",Lượng mưa phân bố đều quanh năm.,Thời gian mùa khô kéo dài liên tục.,"Thiên tai diễn biến phức tạp như bão, lũ lụt và hạn hán."
CHƯƠNG 1,21,Tác động “chu kỳ” của gió mùa đối với vận tải thủy nội địa tại Việt Nam là:,Sự biến động về mực nước theo mùa (lũ và cạn) làm thay đổi năng lực khai thác.,Làm nước biển đóng băng vào mùa đông tại các cảng phía Bắc.,Buộc sử dụng 100% năng lượng mặt trời cho đầu máy tàu hỏa.,Gây ra hiện tượng sương mù vĩnh viễn trên Biển Đông.,Sự biến động về mực nước theo mùa (lũ và cạn) làm thay đổi năng lực khai thác.
CHƯƠNG 1,22,Hạn chế lớn nhất khi đánh giá mức sống chỉ dựa vào GDP/người hoặc GNP/người là:,Không thể so sánh giữa các quốc gia.,Chưa phản ánh đầy đủ tác động của quy mô dân số và năng suất lao động.,Không phản ánh quy mô nền kinh tế.,Không áp dụng được cho các nước đang phát triển.,Chưa phản ánh đầy đủ tác động của quy mô dân số và năng suất lao động.
CHƯƠNG 1,23,"Nếu tỷ trọng công nghiệp và xây dựng trong GDP cao, điều đó phản ánh:",Lao động chủ yếu tập trung trong nông nghiệp.,Nền kinh tế mang tính tự cung tự cấp.,"Nền kinh tế phát triển theo hướng công nghiệp hóa, hiện đại hóa.","Trình độ sản xuất thấp, phụ thuộc dịch vụ.","Nền kinh tế phát triển theo hướng công nghiệp hóa, hiện đại hóa."
CHƯƠNG 1,24,Máy bay thường bayở rìa trên tầng đối lưu hoặc tầng bình lưu nhằm mục đích gì?,Để thoát khỏi lực hấp dẫn của Trái Đất nhanh hơn.,Để tận dụng nguồn oxy dồi dào hơn ở tầng cao.,Giúp hành khách quan sát mưa đá bằng mắt thường.,"Tránh các hiện tượng thời tiết cực đoan và nhiễu động để an toàn, tiết kiệm nhiên liệu.","Tránh các hiện tượng thời tiết cực đoan và nhiễu động để an toàn, tiết kiệm nhiên liệu."
CHƯƠNG 1,25,"Đối với bãi container tại cảng, biện pháp quản trị rủi ro quan trọng nhất trước hiện tượng lốc là:",Di chuyển toàn bộ cảng biển vào sâu trong đất liền.,Sơn container bằng màu sáng để phản xạ sức mạnh cơn lốc.,Sử dụng nam châm khổng lồ hút chặt container.,Quy định chiều cao xếp chồng và sử dụng thiết bị chốt khóa ngăn lật rơi.,Quy định chiều cao xếp chồng và sử dụng thiết bị chốt khóa ngăn lật rơi.
CHƯƠNG 2,26,"Tổ chức Thương mại Thế giới có tên viết tắt là WTO, được thành lập chính thức vào thời điểm nào và Việt Nam trở thành thành viên từ khi nào?","WTO thành lập ngày 11/01/1995, Việt Nam gia nhập ngày 01/01/2007","WTO thành lập ngày 11/11/1995, Việt Nam gia nhập ngày 11/01/2005","WTO thành lập ngày 01/11/1995, Việt Nam gia nhập ngày 11/01/2006","WTO thành lập ngày 01/01/1995, Việt Nam gia nhập ngày 11/01/2007","WTO thành lập ngày 01/01/1995, Việt Nam gia nhập ngày 11/01/2007"
CHƯƠNG 2,27,"Trong các tổ chức quốc tế sau, tổ chức nào Việt Nam không phải là thành viên, và tổ chức đó được thành lập năm nào?","ASEAN, được thành lập năm 1967","EU, được thành lập năm 1993","WTO, được thành lập năm 1995","OPEC, được thành lập năm 1960","OPEC, được thành lập năm 1960"
