Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
Chương 1,1,"Xóa bỏ chế độ quản lý kinh tế hành chính- bao cấp là yếu tố cực kỳ quan trọng để chuyển đổi thị trường gì?","Thị trường cạnh tranh","Thị trường người mua","Thị trường độc quyền","Thị trường người bán","Thị trường người bán"
Chương 1,2,"Thứ tự nào là đúng khi xắp xếp nhu cầu của Maslow từ cao xuống thấp?","Nhu cầu xã hội, nhu cầu an toàn, nhu cầu được quý trọng","Nhu cầu được quý trọng, nhu cầu an toàn, nhu cầu xã hội","Nhu cầu được quý trọng, nhu cầu xã hội, nhu cầu an toàn","Nhu cầu an toàn, nhu cầu xã hội, nhu cầu được quý trọng","Nhu cầu được quý trọng, nhu cầu xã hội, nhu cầu an toàn"
Chương 1,3,"Đâu không phải là một phương án lựa chọn thị trường mục tiêu?","Chuyên môn hóa tách biệt thị trường","Chuyên môn hóa tuyển chọn","Chuyên môn hóa theo đặc tính thị trường","Chuyên môn hóa theo sản phẩm","Chuyên môn hóa tách biệt thị trường"
Chương 1,4,"Mô hình VALS sắp xếp các nhóm người mua nào sau đây là theo chiều tăng dần về nguồn lực và tính sáng tạo?","Người phát minh, người tin tưởng, người suy nghĩ, người sống sót","Người sống sót, người suy nghĩ, người tin tưởng, người phát minh","Người phát minh, người suy nghĩ, người tin tưởng, người sống sót","Người sống sót, người tin tưởng, người suy nghĩ, người phát minh","Người sống sót, người tin tưởng, người suy nghĩ, người phát minh"
Chương 1,5,"Đâu không phải là một mục tiêu cơ bản của đánh giá các đoạn thị trường?","Các tác nhân có thể làm biến đổi thị trường","Quy mô và mức tăng trưởng của thị trường","Mức độ hấp dẫn về cơ cấu thị trường","Các mục tiêu và khả năng của doanh nghiệp","Các tác nhân có thể làm biến đổi thị trường"
Chương 1,6,"Mô hình 5 áp lực cạnh tranh của M. Porter không bao gồm:","Sản phẩm thay thế","Đối thủ cạnh tranh hiện tại","Đối thủ cạnh tranh tiềm ẩn","Sản phẩm doanh nghiệp","Sản phẩm doanh nghiệp"
Chương 1,7,"Đâu không phải là một hoạt động chính để có được một chiến lược định vị tốt?","Lựa chọn vị thế của sản phẩm, của doanh nghiệp trên thị trường mục tiêu","Tạo được một hình ảnh cụ thể cho sản phẩm, thương hiệu trong tâm trí khách hàng trong thị trường mục tiêu","Soạn thảo và hiện thực hóa mục tiêu marketing","Tạo sự khác biệt cho sản phẩm, thương hiệu","Soạn thảo và hiện thực hóa mục tiêu marketing"
Chương 1,8,"Điền từ còn thiếu theo thứ tự vào câu sau: ""Dịch vụ là bất kỳ hành động hoặc ___nào mà một bên có thể cung cấp cho bên kia về cơ bản là vô hình và không dẫn đến quyền ___ bất cứ thứ gì.""","hoạt động, sử dụng","lợi ích, sở hữu","hoạt động, sở hữu","lợi ích, sử dụng","lợi ích, sở hữu"
Chương 1,9,"Điều nào sau đây là đúng khi nói về tính không lưu trữ được của dịch vụ?","Tính không lưu trữ được của dịch vụ không phải là một vấn đề của doanh nghiệp cung ứng nếu cung là tương đối ổn định","Các doanh nghiệp dịch vụ thường thiết kế chiến lược quản trị cung - cầu để tạo ra sự thích ứng giữa cung và cầu dịch vụ","Tính không lưu trữ được của dịch vụ nghĩa là dịch vụ có thể được dự trữ cho những lần mua và sử dụng sau","Cơ hội tạo doanh thu sẽ bị bỏ lỡ và có thể thay thế được nếu khả năng cung ứng dịch vụ không được sử dụng triệt","Các doanh nghiệp dịch vụ thường thiết kế chiến lược quản trị cung - cầu để tạo ra sự thích ứng giữa cung và cầu dịch vụ"
Chương 1,10,"Thu thập thông tin là bước thứ mấy trong quá trình thông qua quyết định mua hàng của người tiêu dùng?","2","3","4","1","2"
