Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 1,1,Tàu hỏa là phương tiện giao thông chạy trên:,Đường nhựa,Đường ray,Đường thủy,Đường bê tông,Đường ray
CHƯƠNG 1,2,Bộ phận chính của đoàn tàu có nhiệm vụ tạo lực kéo là:,Hệ thống hãm,Giá chuyển hướng,Toa xe,Đầu máy,Đầu máy
CHƯƠNG 1,3,"Theo công dụng, đầu máy kéo tàu khách yêu cầu chủ yếu là:","Tốc độ cao, chạy êm thuận","Sức kéo nhỏ, tôc độ thấp",Chỉ dùng để dồn tàu,"Sức kéo rất lớn, tốc độ thấp","Tốc độ cao, chạy êm thuận"
CHƯƠNG 1,4,Đầu máy kéo tàu hàng thường có đặc điểm:,"Sức kéo lớn, tốc độ không cần quá cao",Chỉ sử dụng điện,"Tốc độ rất cao, tải nhỏ",Chỉ dùng trong ga,"Sức kéo lớn, tốc độ không cần quá cao"
CHƯƠNG 1,5,Đầu máy dồn chủ yếu được dùng để:,"Thực hiện công tác dồn dịch ở ga, giải thể hoặc lập tàu",Chạy tàu tốc độ cao,Kéo tàu hàng,Kéo tàu khách liên vận quốc tế,"Thực hiện công tác dồn dịch ở ga, giải thể hoặc lập tàu"
CHƯƠNG 1,6,Khổ đường tiêu chuẩn của đường sắt là:,1435 mm,750 mm,1600 mm,1000 mm,1435 mm
CHƯƠNG 1,7,"Theo nguồn động lực, loại đầu máy phổ biến tại Việt Nam là:",Đầu máy LPG,Đầu máy Diesel,Đầu máy xăng,Đầu máy hybrid,Đầu máy Diesel
CHƯƠNG 1,8,"Trong ký hiệu đầu máy D4H -134, chữ H biểu thị:",Truyền động thủy lực,Hơi nước,Khổ đường hẹp,Chạy hàng,Truyền động thủy lực
CHƯƠNG 1,9,"Trong ký hiệu đầu máy D18E -658, chữ E biểu thị:",Đầu máy châu Âu,Khổ đường rộng,Truyền động điện,Đầu máy dồn,Truyền động điện
CHƯƠNG 1,10,"Trong ký hiệu D18E -658, số 18 thể hiện:",Số thứ tự đăng kiểm toa xe,Tốc độ tối đa,Số trục đầu máy,Công suất đầu máy theo đơn vị 100 mã lực,Công suất đầu máy theo đơn vị 100 mã lực
CHƯƠNG 1,11,Trong công thức trục đầu máy hơi nước A–B–C thì B là:,Số giá chuyển hướng,Số trục chủ động,Số động cơ,Số trục đỡ,Số trục chủ động
CHƯƠNG 1,12,Đầu máy Diesel truyền động thủy lực D10H có công thức trục là:,A –1–A,1–4–1,B–B,C0 –C0,B–B
CHƯƠNG 1,13,Đầu máy Diesel truyền động điện có đặc điểm các trục chủ động trong 1 giá chuyển hường là:,Chỉ có một trục chủ động,Dẫn động độc lập,Dẫn động nhóm toàn bộ,Không có trục chủ động,Dẫn động độc lập
CHƯƠNG 1,14,Động cơ diesel trên đầu máy hoạt động theo nguyên lý nào :,Dùng tia lửa điện caoáp,Đốt cháy bằng khí nén,Tự cháy doáp suất nén cao trong buồng đốt,Đánh lửa bằng bugi,Tự cháy doáp suất nén cao trong buồng đốt
CHƯƠNG 1,15,"Theo số kỳ của chu trình công tác, động cơ Diesel gồm:",1 kỳ và 3 kỳ,2 kỳ và 4 kỳ,4 kỳ và 6 kỳ,3 kỳ và 5 kỳ,2 kỳ và 4 kỳ
CHƯƠNG 1,16,"Theo số xi lanh, động cơ Diesel có thể là:",Chỉ có xi lanh chữ V,Chỉ có nhiều xi lanh,Chỉ có 2 xi lanh,1 xi lanh hoặc nhiều xi lanh,1 xi lanh hoặc nhiều xi lanh
