Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
Phần 1: Khái quát về QTSX,1,Sản xuất là gì?,Quá trình tạo ra sản phẩm hoặc dịch vụ,Quá trình tiêu thụ sản phẩm,Quá trình vận chuyển hàng hóa,Quá trình lưu kho sản phẩm,Quá trình tạo ra sản phẩm hoặc dịch vụ
Phần 1: Khái quát về QTSX,2,Đặc điểm của sản xuất đơn chiếc là gì?,Sản lượng lớn và ổn định,Nhiều chủng loại sản phẩm và sản lượng mỗi loại nhỏ,Thiết bị chuyên dùng,Chu kỳ sản xuất ngắn,Nhiều chủng loại sản phẩm và sản lượng mỗi loại nhỏ
Phần 1: Khái quát về QTSX,3,Đặc điểm của sản xuất hàng loạt là gì?,Thiết bị đa năng,Thiết bị bố trí theo dây chuyền và dòng sản phẩm thẳng,Sản lượng nhỏ,Nhiều chủng loại sản phẩm,Thiết bị bố trí theo dây chuyền và dòng sản phẩm thẳng
Phần 1: Khái quát về QTSX,4,Khi nào doanh nghiệp nên sản xuất để dự trữ?,Khi chu kỳ sản xuất ngắn hơn chu kỳ thương mại,Khi nhu cầu không ổn định,Khi sản phẩm có giá trị cao,Chu kỳ sản xuất dài hơn chu kỳ thương mại,Chu kỳ sản xuất dài hơn chu kỳ thương mại
Phần 1: Khái quát về QTSX,5,Lợi ích của sản xuất theo đơn hàng là gì?,Tăng tồn kho,Giảm tồn kho và chi phí tài chính,Tăng chi phí sản xuất,Giảm chất lượng sản phẩm,Giảm tồn kho và chi phí tài chính
Phần 1: Khái quát về QTSX,6,Khi nào nên sử dụng quá trình lắp ráp?,Sản phẩm có nhiều chi tiết cấu thành,Sản phẩm đơn giản,Sản xuất liên tục,Sản xuất đơn chiếc,Sản phẩm có nhiều chi tiết cấu thành
Phần 1: Khái quát về QTSX,7,Quá trình sản xuất hỗn hợp là gì?,Chỉ sản xuất liên tục,Chỉ sản xuất gián đoạn,Quá trình sản xuất hỗn hợp,Chỉ lắp ráp,Quá trình sản xuất hỗn hợp
Phần 1: Khái quát về QTSX,8,Quá trình chế biến là gì?,Lắp ráp sản phẩm,Vận chuyển hàng hóa,Chế biến nguyên liệu thô thành hàng hóa,Lưu kho sản phẩm,Chế biến nguyên liệu thô thành hàng hóa
Phần 1: Khái quát về QTSX,9,Điều kiện để sản xuất hiệu quả là gì?,Thiết bị hiện đại,Có kế hoạch khoa học và đội ngũ lao động được đào tạo tốt,Vốn lớn,Thị trường rộng,Có kế hoạch khoa học và đội ngũ lao động được đào tạo tốt
Phần 1: Khái quát về QTSX,10,Kiểm tra trong sản xuất được thực hiện như thế nào?,Thường xuyên trong từng chức năng và giai đoạn,Chỉ ở cuối quy trình,Chỉ khi có sự cố,Định kỳ hàng năm,Thường xuyên trong từng chức năng và giai đoạn
Phần 1: Khái quát về QTSX,11,Nội dung cơ bản của quản trị sản xuất bao gồm?,Thiết kế và hoạch định và tổ chức và điều hành và kiểm tra hệ thống sản xuất,Chỉ thiết kế sản phẩm,Chỉ kiểm tra chất lượng,Chỉ quản lý nhân sự,Thiết kế và hoạch định và tổ chức và điều hành và kiểm tra hệ thống sản xuất
Phần 1: Khái quát về QTSX,12,Mục tiêu của quản trị sản xuất là gì?,Tăng chi phí sản xuất,Giảm chất lượng sản phẩm,Tăng thời gian sản xuất,Rút ngắn thời gian sản xuất hoặc cung cấp dịch vụ,Rút ngắn thời gian sản xuất hoặc cung cấp dịch vụ
Phần 1: Khái quát về QTSX,13,Đặc điểm của dịch vụ là gì?,Hữu hình và có thể dự trữ,Vô hình và không thể dự trữ,Có thể vận chuyển,Có thể lưu kho,Vô hình và không thể dự trữ
Phần 1: Khái quát về QTSX,14,Nhà quản trị sản xuất cần có những kỹ năng gì?,Chỉ kỹ năng kỹ thuật,Chỉ kỹ năng nhân sự,Kỹ năng kỹ thuật và nhân sự và tư duy,Chỉ kỹ năng tư duy,Kỹ năng kỹ thuật và nhân sự và tư duy
Phần 2: Dự báo nhu cầu,15,Phương pháp dự báo định tính là gì?,Nhà quản trị sử dụng kinh nghiệm và phán đoán trong điều kiện thiếu thông tin,Sử dụng số liệu thống kê,Sử dụng mô hình toán học,Sử dụng máy tính,Nhà quản trị sử dụng kinh nghiệm và phán đoán trong điều kiện thiếu thông tin
Phần 2: Dự báo nhu cầu,16,Lợi ích của dự báo nhu cầu là gì?,Tăng chi phí sản xuất,Chủ động đáp ứng nhu cầu và không bỏ lỡ cơ hội kinh doanh,Giảm chất lượng sản phẩm,Tăng tồn kho,Chủ động đáp ứng nhu cầu và không bỏ lỡ cơ hội kinh doanh
Phần 2: Dự báo nhu cầu,17,Dự báo ngắn hạn có thời gian bao lâu?,Trên 5 năm,Từ 1 đến 5 năm,Dưới 1 năm,Trên 10 năm,Dưới 1 năm
Phần 2: Dự báo nhu cầu,18,Đặc điểm của dự báo dài hạn là gì?,Độ chính xác cao,Độ chính xác thấp hơn và giải quyết các vấn đề mang tính toàn diện,Chỉ dự báo sản lượng,Chỉ dự báo chi phí,Độ chính xác thấp hơn và giải quyết các vấn đề mang tính toàn diện
Phần 2: Dự báo nhu cầu,19,Ai thường thực hiện dự báo vĩ mô?,Doanh nghiệp nhỏ,Cá nhân,Nhà quản trị cấp thấp,Các cơ quan nghiên cứu và tư vấn kinh tế ở tầm vĩ mô,Các cơ quan nghiên cứu và tư vấn kinh tế ở tầm vĩ mô
Phần 2: Dự báo nhu cầu,20,Phương pháp dự báo định tính dựa vào yếu tố nào?,Số liệu thống kê,Trực giác và kinh nghiệm và sự nhạy cảm của người dự báo,Mô hình toán học,Máy tính,Trực giác và kinh nghiệm và sự nhạy cảm của người dự báo
Phần 2: Dự báo nhu cầu,21,Nhược điểm của phương pháp lấy ý kiến ban điều hành là gì?,Chi phí cao,Mất thời gian,Chịu ảnh hưởng bởi quan điểm cá nhân của nhà quản trị cấp cao,Không chính xác,Chịu ảnh hưởng bởi quan điểm cá nhân của nhà quản trị cấp cao
Phần 2: Dự báo nhu cầu,22,Tại sao cần dự báo nhu cầu?,Khó ước lượng chính xác nhu cầu trong tương lai,Để tăng chi phí,Để giảm chất lượng,Để tăng tồn kho,Khó ước lượng chính xác nhu cầu trong tương lai
Phần 2: Dự báo nhu cầu,23,Vai trò của khách hàng trong dự báo nhu cầu là gì?,Không có vai trò,Cung cấp thông tin nhu cầu và phản hồi để cải tiến sản phẩm,Chỉ mua hàng,Chỉ phản hồi,Cung cấp thông tin nhu cầu và phản hồi để cải tiến sản phẩm
Phần 2: Dự báo nhu cầu,24,Phương pháp Delphi là gì?,Lấy ý kiến khách hàng,Lấy ý kiến nhân viên,Lấy ý kiến chuyên gia qua nhiều vòng để đạt sự thống nhất,Lấy ý kiến ban điều hành,Lấy ý kiến chuyên gia qua nhiều vòng để đạt sự thống nhất
Phần 2: Dự báo nhu cầu,25,Phương pháp dự báo định lượng bao gồm những mô hình nào?,Mô hình chuỗi thời gian và mô hình nhân quả,Chỉ mô hình chuỗi thời gian,Chỉ mô hình nhân quả,Mô hình định tính,Mô hình chuỗi thời gian và mô hình nhân quả
Phần 2: Dự báo nhu cầu,26,Đặc điểm của phương pháp bình quân di động có trọng số là gì?,Mỗi kỳ được gán trọng số khác nhau,Mỗi kỳ có trọng số bằng nhau,Không sử dụng trọng số,Chỉ sử dụng một kỳ,Mỗi kỳ được gán trọng số khác nhau
Phần 2: Dự báo nhu cầu,27,Phương pháp san bằng hàm số mũ có ưu điểm gì?,Đơn giản,Chính xác cao,Khắc phục nhược điểm của phương pháp bình quân di động,Chi phí thấp,Khắc phục nhược điểm của phương pháp bình quân di động
Phần 2: Dự báo nhu cầu,28,Khi hệ số san bằng alpha càng nhỏ thì sao?,Càng nhạy với biến động,Càng ít nhạy với biến động của nhu cầu thực tế,Không ảnh hưởng,Càng chính xác,Càng ít nhạy với biến động của nhu cầu thực tế
Phần 3: Hoạch định công suất,29,Công suất là gì?,Số lượng sản phẩm,Số lượng máy móc,Chi phí sản xuất,Khả năng sản xuất tối đa trong một thời gian nhất định với việc sử dụng hợp lý các nguồn lực hiện có,Khả năng sản xuất tối đa trong một thời gian nhất định với việc sử dụng hợp lý các nguồn lực hiện có
Phần 3: Hoạch định công suất,30,Công suất thiết kế là gì?,Công suất thực tế,Thể hiện khả năng lớn nhất mà trung tâm sản xuất có thể đạt được,Công suất tối thiểu,Công suất trung bình,Thể hiện khả năng lớn nhất mà trung tâm sản xuất có thể đạt được
Phần 3: Hoạch định công suất,31,Đơn vị đo công suất quy đổi là gì?,Số lượng máy móc,Số lượng sản phẩm quy đổi về một sản phẩm tiêu chuẩn,Số lượng nhân công,Diện tích nhà xưởng,Số lượng sản phẩm quy đổi về một sản phẩm tiêu chuẩn
Phần 3: Hoạch định công suất,32,Công suất của hệ thống sản xuất được xác định bởi yếu tố nào?,Năng lực của bộ phận mạnh nhất,Năng lực trung bình,Năng lực của bộ phận lớn nhất,Năng lực của bộ phận yếu nhất,Năng lực của bộ phận yếu nhất
Phần 3: Hoạch định công suất,33,Tại sao cần quy đổi công suất?,Quá trình sản xuất cần sử dụng đồng thời nhiều loại nguồn lực khác nhau,Để tăng chi phí,Để giảm sản lượng,Để tăng nhân công,Quá trình sản xuất cần sử dụng đồng thời nhiều loại nguồn lực khác nhau
Phần 3: Hoạch định công suất,34,Công suất tính theo diện tích phụ thuộc vào yếu tố nào?,Số lượng máy móc,Diện tích chiếm chỗ của một đơn vị sản phẩm và thời gian chu kỳ sản xuất,Số lượng nhân công,Chi phí sản xuất,Diện tích chiếm chỗ của một đơn vị sản phẩm và thời gian chu kỳ sản xuất
