Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
TCTT,1,Thanh toán quốc tế được hiểu đúng nhất là:,Quá trình thực hiện các khoản thu–chi tiền tệ quốc tế thông qua hệ thống ngân hàng nhằm phục vụ các quan hệ trao đổi quốc tế.,Hoạt động mua bán ngoại tệ trên thị trường tự do giữa cá nhân với cá nhân.,Hoạt động chuyển tiền trong nội địa giữa các chủ thể cư trú.,Hoạt động thanh toán bằng tiền mặt tại của khẩu giữa hai doanh nghiệp.,Quá trình thực hiện các khoản thu–chi tiền tệ quốc tế thông qua hệ thống ngân hàng nhằm phục vụ các quan hệ trao đổi quốc tế.
TCTT,2,"Theo cách tiếp cận cơ chế, thanh toán quốc tế là:",Việc áp dụng duy nhất một phương thức thanh toán thống nhất trên toàn cầu.,"Việc các quốc gia quy định các yếu tố cấu thành cơ chế thanh toán (chủ thể, tiền tệ, công cụ, phương thức đòi/chi trả, tín dụng hỗ trợ).",Việc các ngân hàng thương mại tự do đặt ra luật thanh toán riêng.,Việc các doanh nghiệp tự thỏa thuận không cần ngân hàng trung gian.,"Việc các quốc gia quy định các yếu tố cấu thành cơ chế thanh toán (chủ thể, tiền tệ, công cụ, phương thức đòi/chi trả, tín dụng hỗ trợ)."
TCTT,3,Yếu tố “nước ngoài” trong thanh toán quốc tế thể hiện đúng nhất ở nội dung:,Luôn bắt buộc các bên phải cùng quốc tịch.,"Chủ thể tham gia gồm người cư trú và người phi cư trú, hoặc giữa các người phi cư trú với nhau.",Chỉ phát sinh khi thanh toán bằng tiền mặt.,"Chỉ áp dụng cho giao dịch hàng hóa, không áp dụng cho dịch vụ.","Chủ thể tham gia gồm người cư trú và người phi cư trú, hoặc giữa các người phi cư trú với nhau."
TCTT,4,Đặc điểm truyền thống của dịch vụ thanh toán quốc tế là:,Chỉ phát sinh khi có chứng từ giấy.,Luôn dự trữ được để bán lại nhiều lần.,Luôn tách rời hoàn toàn giữa cung ứng và tiêu dùng.,Mang tính vô hình.,Mang tính vô hình.
TCTT,5,Khối lượng tiền trong lưu thông (Ms) được hiểu là:,"Tất cả các phương tiện được chấp nhận là trung gian trao đổi với hàng hóa, dịch vụ và các khoản thanh toán khác trong một thị trường và thời gian nhất định.",Tổng thu ngân sách nhà nước trong một năm.,Tổng số ngoại tệ bán ra trên thị trường liên ngân hàng.,Lư ợng vàng dự trữ quốc gia tại ngân hàng trung ương.,"Tất cả các phương tiện được chấp nhận là trung gian trao đổi với hàng hóa, dịch vụ và các khoản thanh toán khác trong một thị trường và thời gian nhất định."
TCTT,6,Tổng số giá cả hàng hóa là 2.400 (đv tiền tệ) và tốc độ lưu thông bình quân của tiền tệ là 4 vòng/kỳ. Khối lượng tiền cần thiết cho lưu thông (Mn) là:,2.400,960,800,600,600
TCTT,7,"Giả sử tổng số giá cả hàng hóa không đổi, nếu tốc độ lưu thông bình quân của tiền tệ tăng, Mn sẽ:",Không đổi.,Giảm.,"Biến động ngẫu nhiên, không xác định được quan hệ.",Tăng.,Giảm.
TCTT,8,"Tỷ lệ dự trữ bắt buộc là 10%. Một khoản tiền gửi ban đầu là 1.500. Theo hệ số nhân tiền gửi m = 10, tổng tiền gửi được tạo ra là:",1.500,150.000,15.000,7.500,15.000
TCTT,9,"Tỷ lệ dự trữ bắt buộc là 10%. Một khoản tiền gửi ban đầu là 1.500. Theo hệ số nhân tiền gửi m = 10, tổng d ự trữ bắt buộc toàn hệ thống sẽ là:",1.500,15.000,150,13.500,1.500
TCTT,10,NHTW mua ngoại tệ trên th ị trường ngo ại hối và đưa nội tệ vào lưu thông để thanh toán. Kênh cung tiền tương ứng là:,Phát hành cổ phiếu của NHTW.,Thu thu ế để tăng cung tiền.,Tái chiết khấu thương phiếu của doanh nghiệp.,Phát hành tiền qua thị trường vàng và ngoại tệ.,Phát hành tiền qua thị trường vàng và ngoại tệ.
TCTT,11,NHTW cho NSNN vay để đáp ứng nhu cầu chi tiêu khi ngân sách thiếu hụt. Kênh cung tiền phù hợp là:,Cho doanh nghiệp vay bằng hàng hóa.,Cung ứng tiền qua thị trường m ở.,Phát hành tiền cho NSNN vay.,Phát hành tiền qua thị trường vàng và ngoại tệ.,Phát hành tiền cho NSNN vay.
TCTT,12,NHTM thực hiện cho vay bằng chuyển khoản làm tăng tiền gửi thanh toán trong hệ thống. Hiện tư ợng này phản ánh:,Việc Ms luôn bằng Mn trong mọi thời kỳ.,Sự thay thếhoàn toàn của tiền vàng cho tiền dấu hiệu giá trị.,Chứ c năng tạo tiền của hệ thống ngân hàng thông qua tiền gử i thanh toán.,Sự triệt tiêu vai trò dự trữ bắt buộc.,Chứ c năng tạo tiền của hệ thống ngân hàng thông qua tiền gử i thanh toán.
TCTT,13,Một cá nhân giữ tiền mặt để “phòng trường hợp rủi ro đột xuất” thuộc loại nhu cầu ti ền nào?,Nhu cầu tiền cho tích lũy theo kế hoạch định trước.,Nhu cầu tiền cho dự phòng (dự phòng chi rủi ro).,Nhu cầu tiền để cất trữ lâu dài chưa có mục tiêu sử dụng.,Nhu cầu tiền cho giao dịch.,Nhu cầu tiền cho dự phòng (dự phòng chi rủi ro).
TCTT,14,"Lãi su ất danh nghĩa là 10%/năm, tỷ lệ lạm phát là 4%/năm. Lãi suất th ực xấp xỉ là:",6%/năm,14%/năm,10%/năm,4%/năm,6%/năm
TCTT,15,"Nếu tỷ lệ lạm phát tăng, để bảo vệ lợi ích kinh tế của người cho vay, lãi suất tín dụng có xu hướng:",Bằng 0 để kích cầu đầu tư.,Giảm theo,Tăng theo,Không đổi.,Tăng theo
TCTT,16,Th ị trường tài chính được hiểu đúng nhất là:,Nơi chỉ diễn ra giao dịch nội bộ trong một doanh nghiệ p.,Nơi trao đổi hàng hóa tiêu dùng và dịch vụ phi tài chính.,Nơi cung và cầu nguồn tài chính gặp nhau và tại đó các tài sản tài chính được mua bán.,Nơi ch ỉ thực hiện mua bán bất động sản và tài sản hữ u hình.,Nơi cung và cầu nguồn tài chính gặp nhau và tại đó các tài sản tài chính được mua bán.
TCTT,17,Đối tư ợng hư ớng đến của thị trường tài chính là:,Sản lượng hàng hóa vật chất.,Nguồn cung/cầu v ề vốn hoặc dòng tiền.,Lao động giản đơn.,Tài nguyên thiên nhiên.,Nguồn cung/cầu v ề vốn hoặc dòng tiền.
TCTT,18,“Ngư ời cung vố n” trên thị trường tài chính có th ể là:,Chỉ các t ổ chức phi lợ i nhuận.,"Hộ gia đình, nhà đầ u tư và doanh nghiệp thừ a vốn.",Chỉ người lao động không có tích lũy.,Chỉ cơ quan hành chính nhà nước.,"Hộ gia đình, nhà đầ u tư và doanh nghiệp thừ a vốn."
TCTT,19,“Ngư ời cầu vốn” trên th ị trường tài chính thư ờng là:,Chỉ các h ộ gia đình.,Chỉ các t ổ chức xã h ội nghề nghiệp.,"Doanh nghiệp, Chính phủ và các định chế tài chính.",Chỉ các cá nhân không có hoạt động đầ u tư.,"Doanh nghiệp, Chính phủ và các định chế tài chính."
TCTT,20,Hàng hóa của thị trường tài chính đi ển hình là:,Hàng tiêu dùng nhanh.,"Cổ phiếu, trái phiếu và các h ợp đồng kỳ hạn.",Đất đai và khoáng s ản.,Máy móc thiết bị và nguyên vật liệu.,"Cổ phiếu, trái phiếu và các h ợp đồng kỳ hạn."
TCTT,21,Tài sả n tài chính được hiểu là:,Tài sản tiêu dùng cá nhân đã qua sử dụng.,"Tài sản mang hình thái tiền tệ, thể hiện quy ền hư ởng lợ i ích kinh tế trong tương lai (bằng giấy t ờ hoặc d ữ liệu).","Tài sản hữ u hình như nhà xư ởng, máy móc.",Tài sản chỉ có giá trị khi được cất giữ dưới dạng hiện v ật.,"Tài sản mang hình thái tiền tệ, thể hiện quy ền hư ởng lợ i ích kinh tế trong tương lai (bằng giấy t ờ hoặc d ữ liệu)."
TCTT,22,Ngoại tệ là:,Chỉ là vàng miế ng được định giá bằng USD.,Chỉ là tiền mặt nội tệ lưu thông trong nước.,Chỉ là các loại tài sả n cố định của doanh nghiệp.,Đối tư ợng mua bán trên thị trường hối đoái và có khả năng mang lại thu nhập cho người sở hữu.,Đối tư ợng mua bán trên thị trường hối đoái và có khả năng mang lại thu nhập cho người sở hữu.
TCTT,23,Tín phiếu kho bạ c là:,Cổ phiếu ưu đãi do ngân hàng thương mạ i phát hành.,Chứng khoán vốn dài hạn do doanh nghiệp phát hành.,Hợ p đồng mua bán ngoại tệ kỳ hạn.,Chứng nhận nợ ngắn hạn của Chính phủ do Kho bạc Nhà nước phát hành để bù đắp thiếu hụt tạ m thờ i NSNN.,Chứng nhận nợ ngắn hạn của Chính phủ do Kho bạc Nhà nước phát hành để bù đắp thiếu hụt tạ m thờ i NSNN.
TCTT,24,Thương phiếu là:,Hợ p đồng bảo hiểm tài sản.,Giấy chứng nhận quy ền sử dụng đ ất.,Giấy t ờ xác nhận quyền sở hữu cổ phần của công ty.,Chứng chỉ ghi nhận cam kết thanh toán vô điều kiện m ột số tiền xác đ ịnh trong thờ i hạn nhất đị nh.,Chứng chỉ ghi nhận cam kết thanh toán vô điều kiện m ột số tiền xác đ ịnh trong thờ i hạn nhất đị nh.
TCTT,25,Chứng ch ỉ tiền gửi ngân hàng là:,Công c ụ vốn do công ty cổ phầ n phát hành vô thờ i hạn.,Công c ụ xác nhận quyền mua c ổ phiếu mớ i.,Công c ụ nợ dài hạn do Chính phủ phát hành trên 10 năm.,"Công cụ vay nợ do ngân hàng thương mạ i phát hành, thanh toán vốn và lãi khi đế n hạn.","Công cụ vay nợ do ngân hàng thương mạ i phát hành, thanh toán vốn và lãi khi đế n hạn."
TCTT,26,Tổ chức tài chính trung gian thực hiện chức năng t ạo vố n theo nghĩa chủ yếu là:,Chỉ mua bán hàng hóa vật chất.,Huy động vốn từ người tiết kiệm để hình thành nguồn cho vay/đầu tư.,In tiền và phát hành tiền pháp đ ịnh.,Chỉ phân phối lại vố n ngân sách nhà nước.,Huy động vốn từ người tiết kiệm để hình thành nguồn cho vay/đầu tư.
TCTT,27,Chứ c năng cung ứng vốn cho n ền kinh tế của trung gian tài chính thể hiện là:,"Phân phối nguồn vố n huy động để tài trợ kịp thờ i cho cá nhân, doanh nghiệp và tổ chức.",Chỉ thu phí dịch vụ không cung ứng vốn.,Chỉ thực hiện môi gi ới chứng khoán mà không liên quan vốn.,Chỉ cung ứng vốn cho thị trường phi chính thức.,"Phân phối nguồn vố n huy động để tài trợ kịp thờ i cho cá nhân, doanh nghiệp và tổ chức."
TCTT,28,Chứ c năng ki ểm soát của trung gian tài chính nh ằm:,Loại bỏ hoàn toàn yêu cầu thông tin của khách hàng.,Chỉ kiể m soát sau khi khoản vay đã quá hạ n.,Giảm thiểu rủi ro thông qua kiể m tra trư ớc–trong–sau khi cho vay/đầu tư.,Tăng tố i đa rủi ro để tối ưu lợ i nhuận.,Giảm thiểu rủi ro thông qua kiể m tra trư ớc–trong–sau khi cho vay/đầu tư.
